Paper,Model Type,Tracer Type,Valid Radii Range [kpc],Luminosity (R_core = 1 kpc) [Lsun],Luminosity (R_core = 3 kpc) [Lsun],Luminosity (R_core = 5 kpc) [Lsun],"Luminosity (R_core = 1 kpc, Rsun = 8 kpc) [Lsun]","Luminosity (R_core = 3 kpc, Rsun = 8 kpc) [Lsun]","Luminosity (R_core = 5 kpc, Rsun = 8 kpc) [Lsun]",Total Stars (R_core = 1 kpc),Total Stars (R_core = 3 kpc),Total Stars (R_core = 5 kpc),Absolute Magnitude MV (R_core = 1 kpc) [mag],Absolute Magnitude MV (R_core = 3 kpc) [mag],Absolute Magnitude MV (R_core = 5 kpc) [mag],Absolute Magnitude MG (R_core = 1 kpc) [mag],Absolute Magnitude MG (R_core = 3 kpc) [mag],Absolute Magnitude MG (R_core = 5 kpc) [mag]
Horta & Schiavon (2025),Triaxial Plummer,APOGEE Giants,0 - 12,176000000.0,176000000.0,176000000.0,176000000.0,176000000.0,176000000.0,1.76e+09,1.76e+09,1.76e+09,-15.78,-15.78,-15.78,-15.94,-15.94,-15.94
Han et al. (2022),Tilted Triaxial Doubly Broken Power Law,H3 Survey Stars,6 - 60,240000000.0,234000000.0,226000000.0,234000000.0,228000000.0,220000000.0,2.40e+09,2.34e+09,2.26e+09,-16.12,-16.09,-16.06,-16.28,-16.25,-16.22
Amarante et al. (2024),Broken Power Law,BHB Stars,5 - 120,361000000.0,276000000.0,233000000.0,327000000.0,250000000.0,212000000.0,3.61e+09,2.76e+09,2.33e+09,-16.56,-16.27,-16.09,-16.72,-16.43,-16.25
Chen et al. (2023),Broken Power Law,RR Lyrae,5 - 100,367000000.0,296000000.0,259000000.0,333000000.0,269000000.0,235000000.0,3.67e+09,2.96e+09,2.59e+09,-16.58,-16.35,-16.2,-16.74,-16.51,-16.36
Yang et al. (2022),Double Broken Power Law,K Giants,5 - 50,207000000.0,204000000.0,199000000.0,197000000.0,194000000.0,189000000.0,2.07e+09,2.04e+09,1.99e+09,-15.96,-15.94,-15.92,-16.12,-16.1,-16.08
Hernitschek et al. (2018),Single Power Law,RR Lyrae,20 - 131,2240000000.0,482000000.0,235000000.0,1930000000.0,415000000.0,203000000.0,2.24e+10,4.82e+09,2.35e+09,-18.55,-16.88,-16.1,-18.71,-17.04,-16.26
Horta et al. (2021),Triaxial Disc Cut-off (TRI-CUT-DISC),APOGEE Giants,0 - 10,319000000.0,179000000.0,136000000.0,284000000.0,159000000.0,121000000.0,3.19e+09,1.79e+09,1.36e+09,-16.43,-15.8,-15.5,-16.59,-15.96,-15.66
Kurbatov et al. (2024),Single Power Law,RGB Stars,1 - 18,370000000.0,228000000.0,180000000.0,330000000.0,203000000.0,161000000.0,3.70e+09,2.28e+09,1.80e+09,-16.59,-16.06,-15.81,-16.75,-16.22,-15.97
Li & Binney (2022),Softened Double Power Law,RR Lyrae,0 - 100,534000000.0,532000000.0,529000000.0,516000000.0,514000000.0,511000000.0,5.34e+09,5.32e+09,5.29e+09,-16.99,-16.98,-16.98,-17.15,-17.14,-17.14
López-Corredoira et al. (2024),Single Power Law,K/M Giants,25 - 90,3410000000.0,588000000.0,260000000.0,2920000000.0,503000000.0,222000000.0,3.41e+10,5.88e+09,2.60e+09,-19.0,-17.09,-16.21,-19.16,-17.25,-16.37
Lane et al. (2023),Triaxial Oblate Single Power Law,APOGEE Giants,2 - 40,841000000.0,817000000.0,800000000.0,773000000.0,751000000.0,736000000.0,8.41e+09,8.17e+09,8.00e+09,-17.48,-17.45,-17.43,-17.64,-17.61,-17.59
Lucey et al. (2026),Bayesian Gaussian Mixture Model,RR Lyrae,0.2 - 120,646000000.0,558000000.0,452000000.0,627000000.0,541000000.0,439000000.0,6.46e+09,5.58e+09,4.52e+09,-17.2,-17.04,-16.81,-17.36,-17.2,-16.97
Mackereth & Bovy (2020),Triaxial Power Law With Exponential Cut-Off,Red Giants,5 - 30,331000000.0,149000000.0,95300000.0,291000000.0,131000000.0,83800000.0,3.31e+09,1.49e+09,9.53e+08,-16.47,-15.6,-15.12,-16.63,-15.76,-15.28
Medina et al. (2024),Broken Power Law,RR Lyrae,5 - 200,430000000.0,408000000.0,387000000.0,401000000.0,381000000.0,361000000.0,4.30e+09,4.08e+09,3.87e+09,-16.75,-16.7,-16.64,-16.91,-16.86,-16.8
Stringer et al. (2021),Broken Power Law,RR Lyrae,9 - 100,350000000.0,311000000.0,285000000.0,321000000.0,286000000.0,262000000.0,3.50e+09,3.11e+09,2.85e+09,-16.53,-16.4,-16.31,-16.69,-16.56,-16.47
Suzuki et al. (2026),Broken Power Law,MSTO Stars,5 - 100,568000000.0,333000000.0,247000000.0,508000000.0,297000000.0,221000000.0,5.68e+09,3.33e+09,2.47e+09,-17.06,-16.48,-16.15,-17.22,-16.64,-16.31
Wu et al. (2025),Single Power Law,BHB Stars,5 - 30,1500000000.0,254000000.0,116000000.0,1280000000.0,217000000.0,99200000.0,1.50e+10,2.54e+09,1.16e+09,-18.11,-16.18,-15.33,-18.27,-16.34,-15.49
Wu et al. (2022),Sum Of Two Simple Power-Laws,K Giants,5 - 120,1830000000.0,269000000.0,119000000.0,1560000000.0,229000000.0,102000000.0,1.83e+10,2.69e+09,1.19e+09,-18.33,-16.24,-15.36,-18.49,-16.4,-15.52
Rix et al. (2022),Gaussian density falloff,Aurora (In Situ),0 - 5,577000000.0,577000000.0,577000000.0,425000000.0,425000000.0,425000000.0,5.77e+09,5.77e+09,5.77e+09,-17.07,-17.07,-17.07,-17.23,-17.23,-17.23
Cavieres et al. (2025),Triaxial Broken Power Law,nMSTO and RGB stars,20 - 100,579000000.0,412000000.0,342000000.0,521000000.0,371000000.0,308000000.0,5.79e+09,4.12e+09,3.42e+09,-17.08,-16.71,-16.51,-17.24,-16.87,-16.67
Feng et al. (2024),Single Power Law,RR Lyrae,20 - 300,1510000000.0,456000000.0,261000000.0,1320000000.0,397000000.0,227000000.0,1.51e+10,4.56e+09,2.61e+09,-18.12,-16.82,-16.21,-18.28,-16.98,-16.37
Fukushima et al. (2025),Broken Power Law,BHB Stars,36 - 575,1820000000.0,669000000.0,418000000.0,1590000000.0,586000000.0,367000000.0,1.82e+10,6.69e+09,4.18e+09,-18.32,-17.23,-16.72,-18.48,-17.39,-16.88
Tao et al. (2026),Single Power Law,Integrated Light,10 - 100,625000000.0,350000000.0,266000000.0,555000000.0,311000000.0,236000000.0,6.25e+09,3.50e+09,2.66e+09,-17.16,-16.53,-16.23,-17.32,-16.69,-16.39
Medina et al. (2018),Single Power Law,RR Lyrae,10 - 200,1700000000.0,471000000.0,259000000.0,1480000000.0,409000000.0,225000000.0,1.70e+10,4.71e+09,2.59e+09,-18.25,-16.85,-16.2,-18.41,-17.01,-16.36
Deason et al. (2011),Broken Power Law,BHB Stars,1 - 40,317000000.0,296000000.0,280000000.0,293000000.0,274000000.0,259000000.0,3.17e+09,2.96e+09,2.80e+09,-16.42,-16.35,-16.29,-16.58,-16.51,-16.45
Thomas et al. (2018),Broken Power Law,BHB Stars,15 - 220,957000000.0,252000000.0,138000000.0,829000000.0,218000000.0,120000000.0,9.57e+09,2.52e+09,1.38e+09,-17.62,-16.17,-15.52,-17.78,-16.33,-15.68
Li et al. (2026),Triple Power Law,K Giant Stars,10 - 100,392000000.0,387000000.0,381000000.0,372000000.0,368000000.0,362000000.0,3.92e+09,3.87e+09,3.81e+09,-16.65,-16.64,-16.62,-16.81,-16.8,-16.78
Yu et al. (2024),Single Power Law,BHB Stars,20 - 70,1550000000.0,356000000.0,179000000.0,1340000000.0,307000000.0,155000000.0,1.55e+10,3.56e+09,1.79e+09,-18.15,-16.55,-15.8,-18.31,-16.71,-15.96
Ablimit et al. (2018),Broken Power Law,RR Lyrae,9 - 50,286000000.0,227000000.0,194000000.0,260000000.0,206000000.0,177000000.0,2.86e+09,2.27e+09,1.94e+09,-16.31,-16.06,-15.89,-16.47,-16.22,-16.05
